2179,P,ETRF2000-PL / CS2000/24,54.41;22.5;49;24.15
2180,P,ETRF2000-PL / CS92,55.93;14.14;49;24.15
2188,P,Azores Occidental 1939 / UTM zone 25N,39.77;-31.34;39.3;-31.02
2189,P,Azores Central 1948 / UTM zone 26N,39.14;-28.9;38.32;-26.97
2190,P,Azores Oriental 1940 / UTM zone 26N,37.96;-25.92;36.87;-24.72
2193,P,NZGD2000 / New Zealand Transverse Mercator 2000,-34.1;166.37;-47.33;178.63
2195,P,NAD83(HARN) / UTM zone 2S,-14.11;-170.88;-14.59;-168.09
2196,P,ETRS89 / Kp2000 Jutland,57.8;8;54.67;11.29
2197,P,ETRS89 / Kp2000 Zealand,56.79;10.79;54.51;12.69
2198,P,ETRS89 / Kp2000 Bornholm,55.38;14.59;54.94;15.25
2200,P,ATS77 / New Brunswick Stereographic (ATS77),48.07;-69.05;44.56;-63.7
2201,P,REGVEN / UTM zone 18N,11.62;-73.38;7.02;-71.99
2202,P,REGVEN / UTM zone 19N,15.64;-72;0.73;-66
2203,P,REGVEN / UTM zone 20N,16.75;-66;0.64;-58.95
2204,P,NAD27 / Tennessee,36.68;-90.31;34.98;-81.65
2205,P,NAD83 / Kentucky North,39.15;-85.96;37.71;-82.47
2206,P,ED50 / 3-degree Gauss-Kruger zone 9,42.11;25.62;36.5;28.5
2207,P,ED50 / 3-degree Gauss-Kruger zone 10,41.46;28.5;36.06;31.5
2208,P,ED50 / 3-degree Gauss-Kruger zone 11,42.07;31.5;35.97;34.5
2209,P,ED50 / 3-degree Gauss-Kruger zone 12,42.15;34.5;35.81;37.5
2210,P,ED50 / 3-degree Gauss-Kruger zone 13,41.19;37.5;36.66;40.5
2211,P,ED50 / 3-degree Gauss-Kruger zone 14,41.6;40.5;37.02;43.5
2212,P,ED50 / 3-degree Gauss-Kruger zone 15,41.02;43.5;36.97;44.83
2213,P,ETRS89 / TM 30 NE,45.2;28.64;43.44;31.41
2215,P,Manoca 1962 / UTM zone 32N,4.99;8.45;2.16;10.4
2216,P,Qornoq 1927 / UTM zone 22N,73.05;-54;60.63;-48
2217,P,Qornoq 1927 / UTM zone 23N,62.05;-48;59.74;-42.52
2218,P,Scoresbysund 1952 / Greenland zone 5 east,72;-29.69;69;-21.32
2219,P,ATS77 / UTM zone 19N,48.07;-69;43.64;-66
2220,P,ATS77 / UTM zone 20N,47.98;-66;43.41;-59.73
2221,P,Scoresbysund 1952 / Greenland zone 6 east,69;-26.99;68.66;-25.14
2222,P,NAD83 / Arizona East (ft),37.01;-111.71;31.33;-109.04
2223,P,NAD83 / Arizona Central (ft),37.01;-113.35;31.33;-110.44
2224,P,NAD83 / Arizona West (ft),37;-114.81;32.05;-112.52
2225,P,NAD83 / California zone 1 (ftUS),42.01;-124.45;39.59;-119.99
2226,P,NAD83 / California zone 2 (ftUS),40.16;-124.06;38.02;-119.54
2227,P,NAD83 / California zone 3 (ftUS),38.71;-123.02;36.73;-117.83
2228,P,NAD83 / California zone 4 (ftUS),37.58;-122.01;35.78;-115.62
2229,P,NAD83 / California zone 5 (ftUS),35.81;-121.42;32.76;-114.12
2230,P,NAD83 / California zone 6 (ftUS),34.08;-118.15;32.53;-114.42
2231,P,NAD83 / Colorado North (ftUS),41.01;-109.06;39.56;-102.04
2232,P,NAD83 / Colorado Central (ftUS),40.09;-109.06;38.14;-102.04
2233,P,NAD83 / Colorado South (ftUS),38.68;-109.06;36.98;-102.04
2234,P,NAD83 / Connecticut (ftUS),42.05;-73.73;40.98;-71.78
2235,P,NAD83 / Delaware (ftUS),39.85;-75.8;38.44;-74.97
2236,P,NAD83 / Florida East (ftUS),30.83;-82.33;24.41;-79.97
2237,P,NAD83 / Florida West (ftUS),29.6;-83.34;26.27;-81.13
2238,P,NAD83 / Florida North (ftUS),31.01;-87.63;29.21;-82.04
2239,P,NAD83 / Georgia East (ftUS),34.68;-83.47;30.36;-80.77
2240,P,NAD83 / Georgia West (ftUS),35.01;-85.61;30.62;-82.99
